Año,Lote,Tipo de Hidrocarburo,Producción,Inversion,Regalia,Canon,Reservas Probadas (P1),Reservas Probables (P2),Reservas Posibles (P3),Reservas Totales (3P),Recursos Contingentes (2C),Recursos Prospectivos (2U)
2021,I,Petróleo,536.7068493150684,,,,,,,,,
2021,II,Petróleo,384.145205479452,,,,,,,,,
2021,III,Petróleo,527.0630136986301,,,,,,,,,
2021,IV,Petróleo,1892.284931506849,,,,,,,,,
2021,V,Petróleo,93.3972602739726,,,,,,,,,
2021,VII/VI,Petróleo,3935.87397260274,,,,,,,,,
2021,VI,Petróleo,0.0,,,,,,,,,
2021,VII,Petróleo,0.0,,,,,,,,,
2021,IX,Petróleo,155.013698630137,,,,,,,,,
2021,X,Petróleo,12075.69589041096,,,,,,,,,
2021,XIII,Petróleo,1180.093150684932,,,,,,,,,
2021,XV,Petróleo,29.5972602739726,,,,,,,,,
2021,XX,Petróleo,11.84383561643836,,,,,,,,,
2021,Z-69,Petróleo,5836.819178082192,,,,,,,,,
2021,Z-6,Petróleo,0.0,,,,,,,,,
2021,Z-1,Petróleo,0.0,,,,,,,,,
2021,192,Petróleo,0.0,,,,,,,,,
2021,8,Petróleo,0.0,,,,,,,,,
2021,67,Petróleo,1415.641095890411,,,,,,,,,
2021,95,Petróleo,8846.912328767123,,,,,,,,,
2021,131,Petróleo,1469.734246575342,,,,,,,,,
2021,Z-69,LGN,767.1917808219179,,,,,,,,,
2021,31-C,LGN,227.5150684931507,,,,,,,,,
2021,88,LGN,49568.44109589041,,,,,,,,,
2021,57,LGN,7773.71506849315,,,,,,,,,
2021,56,LGN,22780.12328767123,,,,,,,,,
2021,I,Gas,3.15037914,,,,,,,,,
2021,II,Gas,0.8064836832876711,,,,,,,,,
2021,III,Gas,0.0,,,,,,,,,
2021,IV,Gas,0.8034629249315071,,,,,,,,,
2021,VII/VI,Gas,3.698008219178082,,,,,,,,,
2021,VI,Gas,0.0,,,,,,,,,
2021,X,Gas,14.57310136986301,,,,,,,,,
2021,XIII,Gas,12.08888145506849,,,,,,,,,
2021,Z-69,Gas,9.433849075616438,,,,,,,,,
2021,88,Gas,689.9719025347945,,,,,,,,,
2021,56,Gas,242.0166717838356,,,,,,,,,
2021,57,Gas,116.9697187978082,,,,,,,,,
2021,31-C,Gas,7.009493095342465,,,,,,,,,
2022,I,Petróleo,502.7835616438356,,,,,,,,,
2022,II,Petróleo,421.1315068493151,,,,,,,,,
2022,III,Petróleo,626.758904109589,,,,,,,,,
2022,IV,Petróleo,2334.419178082192,,,,,,,,,
2022,V,Petróleo,104.9698630136986,,,,,,,,,
2022,VII/VI,Petróleo,3563.298630136987,,,,,,,,,
2022,VI,Petróleo,0.0,,,,,,,,,
2022,VII,Petróleo,0.0,,,,,,,,,
2022,IX,Petróleo,153.2767123287671,,,,,,,,,
2022,X,Petróleo,11369.40821917808,,,,,,,,,
2022,XIII,Petróleo,1793.452054794521,,,,,,,,,
2022,XV,Petróleo,28.12054794520548,,,,,,,,,
2022,XX,Petróleo,10.53972602739726,,,,,,,,,
2022,Z-69,Petróleo,5306.819178082192,,,,,,,,,
2022,Z-6,Petróleo,0.0,,,,,,,,,
2022,Z-1,Petróleo,0.0,,,,,,,,,
2022,192,Petróleo,0.0,,,,,,,,,
2022,8,Petróleo,0.0,,,,,,,,,
2022,67,Petróleo,1004.435616438356,,,,,,,,,
2022,95,Petróleo,12075.23835616438,,,,,,,,,
2022,131,Petróleo,1243.605479452055,,,,,,,,,
2022,Z-69,LGN,618.3506849315069,,,,,,,,,
2022,31-C,LGN,227.4383561643835,,,,,,,,,
2022,88,LGN,49561.48219178082,,,,,,,,,
2022,57,LGN,10552.79726027397,,,,,,,,,
2022,56,LGN,15706.16164383562,,,,,,,,,
2022,I,Gas,2.708170969041096,,,,,,,,,
2022,II,Gas,1.336551512328767,,,,,,,,,
2022,III,Gas,0.0,,,,,,,,,
2022,IV,Gas,1.907066390136986,,,,,,,,,
2022,VII/VI,Gas,3.609095890410959,,,,,,,,,
2022,VI,Gas,0.0,,,,,,,,,
2022,X,Gas,14.71235342465753,,,,,,,,,
2022,XIII,Gas,18.92109774465753,,,,,,,,,
2022,Z-69,Gas,10.99744525452055,,,,,,,,,
2022,88,Gas,785.1503537509591,,,,,,,,,
2022,56,Gas,318.8610728284931,,,,,,,,,
2022,57,Gas,157.5624288542466,,,,,,,,,
2022,31-C,Gas,10.25465486273973,,,,,,,,,
2023,I,Petróleo,472.1616438356164,,,,,,,,,
2023,II,Petróleo,371.9424657534246,,,,,,,,,
2023,III,Petróleo,1608.654794520548,,,,,,,,,
2023,IV,Petróleo,2404.33698630137,,,,,,,,,
2023,V,Petróleo,78.79452054794521,,,,,,,,,
2023,VII/VI,Petróleo,2236.879452054794,,,,,,,,,
2023,VI,Petróleo,372.8438356164384,,,,,,,,,
2023,VII,Petróleo,159.9835616438356,,,,,,,,,
2023,IX,Petróleo,153.1150684931507,,,,,,,,,
2023,X,Petróleo,9735.076712328768,,,,,,,,,
2023,XIII,Petróleo,1356.843835616438,,,,,,,,,
2023,XV,Petróleo,24.95068493150685,,,,,,,,,
2023,XX,Petróleo,10.09041095890411,,,,,,,,,
2023,Z-69,Petróleo,4637.512328767124,,,,,,,,,
2023,Z-6,Petróleo,0.0,,,,,,,,,
2023,Z-1,Petróleo,0.0,,,,,,,,,
2023,192,Petróleo,0.0,,,,,,,,,
2023,8,Petróleo,0.0,,,,,,,,,
2023,67,Petróleo,54.87397260273973,,,,,,,,,
2023,95,Petróleo,14139.44109589041,,,,,,,,,
2023,131,Petróleo,877.8767123287671,,,,,,,,,
2023,Z-69,LGN,529.3068493150685,,,,,,,,,
2023,31-C,LGN,160.9506849315069,,,,,,,,,
2023,88,LGN,49459.31506849315,,,,,,,,,
2023,57,LGN,12411.72602739726,,,,,,,,,
2023,56,LGN,13851.11780821918,,,,,,,,,
